               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034122,            0.014891,           0.0010735,             0.89289,             0.84874,             0.91098,             0.66038,            0.021827,           0.0065054,          0.00063737,            0.004225,            0.004225,            0.004225
                  37,            0.033976,             0.01508,          0.00087517,             0.88074,             0.85772,              0.9112,             0.65953,            0.021858,           0.0064357,          0.00067758,             0.00406,             0.00406,             0.00406
                  38,            0.033517,            0.014525,           0.0009037,              0.8983,             0.85346,              0.9121,             0.66238,            0.021872,           0.0064054,          0.00069409,            0.003895,            0.003895,            0.003895
                  39,            0.033701,             0.01446,          0.00094414,             0.89716,             0.85852,             0.91421,             0.66241,            0.021724,           0.0064096,          0.00054682,             0.00373,             0.00373,             0.00373
                  40,            0.033522,            0.014835,           0.0010304,             0.90483,             0.86057,             0.92222,             0.67478,            0.021312,           0.0062322,          0.00063452,            0.003565,            0.003565,            0.003565
                  41,            0.033101,            0.014584,          0.00079684,             0.91205,             0.85149,             0.91807,             0.67279,            0.021158,           0.0062999,          0.00054363,              0.0034,              0.0034,              0.0034
                  42,            0.032456,            0.014185,          0.00072969,             0.90091,             0.85746,             0.91628,              0.6723,            0.021304,           0.0063274,          0.00068121,            0.003235,            0.003235,            0.003235
                  43,            0.032058,            0.014036,           0.0007316,             0.89076,             0.85535,             0.91833,             0.67306,            0.021004,           0.0062677,          0.00065268,             0.00307,             0.00307,             0.00307
                  44,            0.032169,            0.013806,          0.00082582,             0.91232,             0.86907,             0.92195,             0.68023,            0.020712,           0.0061922,          0.00056393,            0.002905,            0.002905,            0.002905
                  45,            0.032158,            0.014356,          0.00069977,             0.90773,             0.87006,             0.92051,             0.68326,            0.020748,           0.0061936,          0.00062986,             0.00274,             0.00274,             0.00274
                  46,            0.031417,            0.013906,           0.0006842,             0.91293,             0.85755,             0.91945,              0.6814,            0.020967,           0.0062149,          0.00066785,            0.002575,            0.002575,            0.002575
                  47,            0.031334,            0.013852,          0.00072704,             0.91339,             0.86818,             0.92284,             0.68497,            0.020484,           0.0061724,          0.00063373,             0.00241,             0.00241,             0.00241
                  48,            0.030892,            0.013856,          0.00071095,             0.92479,             0.85862,             0.92475,             0.68601,             0.02071,           0.0062098,          0.00061408,            0.002245,            0.002245,            0.002245
                  49,            0.030824,            0.013775,           0.0007469,             0.90581,             0.86743,             0.92516,             0.68519,             0.02075,           0.0061232,          0.00052383,             0.00208,             0.00208,             0.00208
                  50,            0.030767,            0.013611,          0.00070503,             0.91408,             0.86613,             0.92642,             0.68994,            0.020388,           0.0061148,          0.00062787,            0.001915,            0.001915,            0.001915
                  51,            0.030368,            0.013464,          0.00066857,             0.91098,              0.8736,             0.92525,             0.69175,            0.020508,           0.0060732,          0.00065983,             0.00175,             0.00175,             0.00175
                  52,            0.029665,            0.013834,          0.00053499,             0.91696,             0.86588,             0.92559,             0.69008,            0.020641,           0.0061392,          0.00054384,            0.001585,            0.001585,            0.001585
                  53,            0.029698,            0.013431,          0.00067546,              0.9237,             0.86589,             0.92577,             0.69566,            0.020211,            0.006046,          0.00059329,             0.00142,             0.00142,             0.00142
                  54,            0.029165,            0.013412,            0.000575,             0.92147,              0.8667,             0.92366,             0.69397,            0.020217,           0.0060779,          0.00055563,            0.001255,            0.001255,            0.001255
                  55,            0.028951,            0.013088,          0.00056003,             0.91736,             0.87723,             0.92688,             0.69458,            0.020373,           0.0060941,          0.00059998,             0.00109,             0.00109,             0.00109
                  56,            0.028342,             0.01305,          0.00059545,             0.91385,             0.87423,             0.92463,             0.69941,            0.020226,           0.0060407,           0.0006196,            0.000925,            0.000925,            0.000925
                  57,            0.028231,            0.012788,          0.00052556,             0.92064,             0.87026,             0.92596,             0.69884,            0.020197,            0.006026,          0.00054785,             0.00076,             0.00076,             0.00076
                  58,            0.027967,            0.012698,          0.00060746,             0.93028,             0.86629,             0.92566,             0.69877,            0.020037,           0.0060232,          0.00057617,            0.000595,            0.000595,            0.000595
                  59,            0.028103,            0.012771,          0.00054542,             0.93669,             0.85968,             0.92715,             0.70108,            0.019968,           0.0060218,          0.00057835,             0.00043,             0.00043,             0.00043
